P,T,fG,NCeq,cH,cC,cG,cN
160000.0,323.0689655172414,0.0,62173.2788886524,5.848514763131676e-06,0.0217832260720166,0.0001284375262784,4.4220794712400176e-05
160000.0,323.0689655172414,0.0023210526315789,58807.5119165544,5.817972932979167e-06,0.0219305762984872,0.0001265952168677,4.463138209740295e-05
160000.0,323.0689655172414,0.0046421052631578,55442.91426338563,5.78735654000099e-06,0.0220779270284693,0.0001247526075496,4.504196955388296e-05
160000.0,323.0689655172414,0.0069631578947368,52077.26651914842,5.756644779964602e-06,0.022225278315909,0.0001229096355382,4.545255709624794e-05
160000.0,323.0689655172414,0.0092842105263157,48710.12790665053,5.725862367773433e-06,0.0223726300965363,0.0001210663353098,4.586314471868973e-05
160000.0,323.0689655172414,0.0116052631578947,45344.061128305,5.6949576652753575e-06,0.0225199822537273,0.0001192227895341,4.6273732408774886e-05
160000.0,323.0689655172414,0.0139263157894736,41979.308970425394,5.663921556718663e-06,0.0226673346862827,0.0001173790698706,4.668432015382477e-05
160000.0,323.0689655172414,0.0162473684210526,38614.58706922927,5.6327939850981256e-06,0.0228146873195515,0.0001155352271921,4.709490794260145e-05
160000.0,323.0689655172414,0.0185684210526315,35250.231711369765,5.601562751261715e-06,0.0229620400806892,0.0001136913157405,4.750549576516377e-05
160000.0,323.0689655172414,0.0208894736842105,31881.071244063118,5.5701796224784496e-06,0.0231093929152474,0.0001118473914737,4.7916083614317056e-05
160000.0,323.0689655172414,0.0232105263157894,28516.592422833084,5.538666625583287e-06,0.0232567457865473,0.0001100034867566,4.832667148162898e-05
160000.0,323.0689655172414,0.0255315789473684,25149.102580824285,5.507004332932493e-06,0.0234040986198358,0.0001081596423729,4.873725936297231e-05
160000.0,323.0689655172414,0.0278526315789473,21787.038243227464,5.475178531600123e-06,0.0235514513329896,0.0001063158937934,4.914784725224862e-05
160000.0,325.0344827586207,0.0,47906.7875249237,8.432969423069085e-06,0.0211757341581613,0.0001266010974223,4.422091278932184e-05
